,2,3,4,5,6,7,8,9,10,1
Hard5,H,H,H,H,H,H,H,H,H,H
Hard6,H,H,H,H,H,H,H,H,H,H
Hard7,H,H,H,H,H,H,H,H,H,H
Hard8,H,H,H,H,H,H,H,H,H,H
Hard9,H,Dh,Dh,Dh,Dh,H,H,H,H,H
Hard10,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
Hard11,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
Hard12,H,H,S,S,S,H,H,H,H,H
Hard13,S,S,S,S,S,H,H,H,H,H
Hard14,S,S,S,S,S,H,H,H,H,H
Hard15,S,S,S,S,S,H,H,H,H,H
Hard16,S,S,S,S,S,H,H,H,H,H
Hard17,S,S,S,S,S,S,S,S,S,S
Hard18,S,S,S,S,S,S,S,S,S,S
Hard19,S,S,S,S,S,S,S,S,S,S
Hard20,S,S,S,S,S,S,S,S,S,S
Hard21,S,S,S,S,S,S,S,S,S,S
Soft13,H,H,H,Dh,Dh,H,H,H,H,H
Soft14,H,H,H,Dh,Dh,H,H,H,H,H
Soft15,H,H,Dh,Dh,Dh,H,H,H,H,H
Soft16,H,H,Dh,Dh,Dh,H,H,H,H,H
Soft17,H,Dh,Dh,Dh,Dh,H,H,H,H,H
Soft18,S,Ds,Ds,Ds,Ds,S,S,H,H,H
Soft19,S,S,S,S,S,S,S,S,S,S
Soft20,S,S,S,S,S,S,S,S,S,S
Soft21,S,S,S,S,S,S,S,S,S,S
Pair2,P,P,P,P,P,P,H,H,H,H
Pair3,P,P,P,P,P,P,H,H,H,H
Pair4,H,H,H,P,P,H,H,H,H,H
Pair5,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
Pair6,P,P,P,P,P,H,H,H,H,H
Pair7,P,P,P,P,P,P,H,H,H,H
Pair8,P,P,P,P,P,P,P,P,H,H
Pair9,P,P,P,P,P,S,P,P,S,S
Pair10,S,S,S,S,S,S,S,S,S,S
PairA,P,P,P,P,P,P,P,P,P,H
